subj,possible_vocab,vocab,type,word,avg_known,understands,ci_lower,ci_upper
25,85,75,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
25,85,75,late,peacock,0.3170731707317073,TRUE,0.1841507177033493,0.4750568181818181
25,85,75,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
25,85,75,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
25,85,75,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
25,85,75,late,swan,0.12195121951219512,TRUE,0.02564102564102564,0.23085106382978715
26,85,78,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
26,85,78,early,cat,1,TRUE,1,1
26,85,78,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
26,85,78,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
26,85,78,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
26,85,78,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
26,85,78,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
26,85,78,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
26,85,78,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
26,85,78,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
26,85,78,late,lobster,0.17073170731707318,TRUE,0.06382978723404255,0.3000757575757575
26,85,78,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
26,85,78,late,raccoon,0.3902439024390244,TRUE,0.23809523809523808,0.5428726708074534
26,85,78,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
26,85,78,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
26,85,78,late,swan,0.12195121951219512,TRUE,0.02564102564102564,0.23085106382978715
27,85,56,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
27,85,56,early,cat,1,TRUE,1,1
27,85,56,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
27,85,56,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
27,85,56,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
27,85,56,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
27,85,56,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
27,85,56,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
27,85,56,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
27,85,56,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
27,85,56,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
27,85,56,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
27,85,56,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
27,85,56,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
27,85,56,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
27,85,56,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
28,85,70,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
28,85,70,early,cat,1,TRUE,1,1
28,85,70,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
28,85,70,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
28,85,70,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
28,85,70,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
28,85,70,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
28,85,70,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
28,85,70,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
28,85,70,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
28,85,70,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
28,85,70,late,peacock,0.3170731707317073,TRUE,0.1841507177033493,0.4750568181818181
28,85,70,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
28,85,70,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
28,85,70,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
28,85,70,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
29,85,26,early,bird,0.926829268292683,FALSE,0.8366496598639456,1
29,85,26,early,cat,1,TRUE,1,1
29,85,26,early,cow,0.9512195121951219,FALSE,0.8723404255319149,1
29,85,26,early,dog,0.975609756097561,FALSE,0.9117647058823529,1
29,85,26,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
29,85,26,early,duck,0.926829268292683,FALSE,0.8431114551083592,1
29,85,26,early,elephant,0.8780487804878049,FALSE,0.7735849056603774,0.9714484126984128
29,85,26,early,fish,0.9512195121951219,FALSE,0.878769401330377,1
29,85,26,early,horse,0.9024390243902439,FALSE,0.8,0.9800192307692307
29,85,26,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
29,85,26,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
29,85,26,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
29,85,26,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
29,85,26,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
29,85,26,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
29,85,26,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
30,85,68,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
30,85,68,early,cat,1,TRUE,1,1
30,85,68,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
30,85,68,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
30,85,68,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
30,85,68,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
30,85,68,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
30,85,68,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
30,85,68,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
30,85,68,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
30,85,68,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
30,85,68,late,peacock,0.3170731707317073,TRUE,0.1841507177033493,0.4750568181818181
30,85,68,late,raccoon,0.3902439024390244,TRUE,0.23809523809523808,0.5428726708074534
30,85,68,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
30,85,68,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
30,85,68,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
31,85,38,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
31,85,38,early,cat,1,TRUE,1,1
31,85,38,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
31,85,38,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
31,85,38,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
31,85,38,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
31,85,38,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
31,85,38,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
31,85,38,early,horse,0.9024390243902439,FALSE,0.8,0.9800192307692307
31,85,38,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
31,85,38,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
31,85,38,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
31,85,38,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
31,85,38,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
31,85,38,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
31,85,38,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
32,85,77,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
32,85,77,early,cat,1,TRUE,1,1
32,85,77,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
32,85,77,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
32,85,77,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
32,85,77,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
32,85,77,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
32,85,77,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
32,85,77,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
32,85,77,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
32,85,77,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
32,85,77,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
32,85,77,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
32,85,77,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
32,85,77,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
32,85,77,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
33,85,64,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
33,85,64,early,cat,1,TRUE,1,1
33,85,64,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
33,85,64,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
33,85,64,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
33,85,64,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
33,85,64,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
33,85,64,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
33,85,64,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
33,85,64,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
33,85,64,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
33,85,64,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
33,85,64,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
33,85,64,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
33,85,64,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
33,85,64,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
34,85,73,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
34,85,73,early,cat,1,TRUE,1,1
34,85,73,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
34,85,73,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
34,85,73,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
34,85,73,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
34,85,73,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
34,85,73,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
34,85,73,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
34,85,73,late,leopard,0.21951219512195122,TRUE,0.09085858585858586,0.3571886446886447
34,85,73,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
